======================================================================
ASPEN PLUS DEEP BLOCK INSPECTION
======================================================================
Loading: C:\Program Files\AspenTech\Aspen Plus V14.0\GUI\Examples\Hydrogen\Alkaline electrolysis\Industrial Scale Alkaline Electrolyzer\Industrial Scale Alkaline Electrolyzer.bkp
Inspecting Block: B1
  B1 | Path: \B1 | Value: V-DRUM1
      INCR | Path: \B1\Input\INCR | Value: None
      INDEP_VAR | Path: \B1\Input\INDEP_VAR | Value: None
      INIT_SCRIPT | Path: \B1\Input\INIT_SCRIPT | Value: None
      INLET_PHASE | Path: \B1\Input\INLET_PHASE | Value: None
      INPUT | Path: \B1\Input\INPUT | Value: INPUT
      INTERACTIVE | Path: \B1\Input\INTERACTIVE | Value: None
      INTERPOLATE | Path: \B1\Input\INTERPOLATE | Value: LINEAR
      INTERVAL | Path: \B1\Input\INTERVAL | Value: None
      IVENABLED | Path: \B1\Input\IVENABLED | Value: None
      IVLOWER | Path: \B1\Input\IVLOWER | Value: None
      IVNAME | Path: \B1\Input\IVNAME | Value: None
      IVSCALE | Path: \B1\Input\IVSCALE | Value: None
      IVSPEC | Path: \B1\Input\IVSPEC | Value: None
      IVSTEP | Path: \B1\Input\IVSTEP | Value: None
      IVUPPER | Path: \B1\Input\IVUPPER | Value: None
      IVVALUE | Path: \B1\Input\IVVALUE | Value: None
      L2_COMP_MODE | Path: \B1\Input\L2_COMP_MODE | Value: AUTO
      LAMBDA | Path: \B1\Input\LAMBDA | Value: 2270000.0
      LENGTH | Path: \B1\Input\LENGTH | Value: None
      LEVELCONT | Path: \B1\Input\LEVELCONT | Value: YES
      LIMUNITS | Path: \B1\Input\LIMUNITS | Value: None
      LINES | Path: \B1\Input\LINES | Value: None
      LIQ1FRAC | Path: \B1\Input\LIQ1FRAC | Value: None
      LIQFRAC | Path: \B1\Input\LIQFRAC | Value: 0.5
      LISTS | Path: \B1\Input\LISTS | Value: None
      LOCALSCRIPT | Path: \B1\Input\LOCALSCRIPT | Value: None
      LOWER | Path: \B1\Input\LOWER | Value: None
      LSSOURCE | Path: \B1\Input\LSSOURCE | Value: None
      MASSEQP | Path: \B1\Input\MASSEQP | Value: None
      MAXIT | Path: \B1\Input\MAXIT | Value: 30
      MIN_PRES | Path: \B1\Input\MIN_PRES | Value: YES
      NEG_COMP_CHK | Path: \B1\Input\NEG_COMP_CHK | Value: -1e-08
      NEG_FLOW_CHK | Path: \B1\Input\NEG_FLOW_CHK | Value: -1e-15
      NEWPAGE | Path: \B1\Input\NEWPAGE | Value: NONEWPAGE
      NPHASE | Path: \B1\Input\NPHASE | Value: 2
      NPOINTS | Path: \B1\Input\NPOINTS | Value: None
      ON_SMEO_DIFF | Path: \B1\Input\ON_SMEO_DIFF | Value: None
      OPSETNAME | Path: \B1\Input\OPSETNAME | Value: ENRTL-RK
      OPT_OVERALL | Path: \B1\Input\OPT_OVERALL | Value: DISTFUN
      OPT_PSD | Path: \B1\Input\OPT_PSD | Value: COPY
      OPT_RANGE | Path: \B1\Input\OPT_RANGE | Value: None
      OPT_SUBPSD | Path: \B1\Input\OPT_SUBPSD | Value: OVERALL
      OV_ATTR | Path: \B1\Input\OV_ATTR | Value: None
      OV_D50 | Path: \B1\Input\OV_D50 | Value: None
      OV_D63 | Path: \B1\Input\OV_D63 | Value: None
      OV_DIAM | Path: \B1\Input\OV_DIAM | Value: None
      OV_DISTFUN | Path: \B1\Input\OV_DISTFUN | Value: None
      OV_FRACTION | Path: \B1\Input\OV_FRACTION | Value: None
      OV_GGSN | Path: \B1\Input\OV_GGSN | Value: None
      OV_GMDEV | Path: \B1\Input\OV_GMDEV | Value: None
      OV_MESHOPT | Path: \B1\Input\OV_MESHOPT | Value: PREDEF
      OV_PSDID | Path: \B1\Input\OV_PSDID | Value: None
      OV_RRSBN | Path: \B1\Input\OV_RRSBN | Value: None
      OV_STDDEV | Path: \B1\Input\OV_STDDEV | Value: None
      OV_STEEPNES | Path: \B1\Input\OV_STEEPNES | Value: None
      PDROP | Path: \B1\Input\PDROP | Value: None
      PHYS_QTY | Path: \B1\Input\PHYS_QTY | Value: None
      POINTNO | Path: \B1\Input\POINTNO | Value: None
      PRES | Path: \B1\Input\PRES | Value: 0.0
      PRESCONT | Path: \B1\Input\PRESCONT | Value: YES
      PRES_PROFILE | Path: \B1\Input\PRES_PROFILE | Value: None
      PRES_TOL | Path: \B1\Input\PRES_TOL | Value: 1.0
      PROPERTIES | Path: \B1\Input\PROPERTIES | Value: None
      PROP_LEVEL | Path: \B1\Input\PROP_LEVEL | Value: 4
      PSDID | Path: \B1\Input\PSDID | Value: None
      PSVBX | Path: \B1\Input\PSVBX | Value: None
      PSVBY | Path: \B1\Input\PSVBY | Value: None
      PSVLABELBOX | Path: \B1\Input\PSVLABELBOX | Value: None
      PSVROUTE0 | Path: \B1\Input\PSVROUTE0 | Value: None
      PSVROUTE1 | Path: \B1\Input\PSVROUTE1 | Value: None
      PSVROUTE2 | Path: \B1\Input\PSVROUTE2 | Value: None
      PSVROUTE3 | Path: \B1\Input\PSVROUTE3 | Value: None
      PSVROUTE4 | Path: \B1\Input\PSVROUTE4 | Value: None
      PSVROUTE5 | Path: \B1\Input\PSVROUTE5 | Value: None
      P_EST | Path: \B1\Input\P_EST | Value: None
      RAMPED | Path: \B1\Input\RAMPED | Value: None
      REBWIZ | Path: \B1\Input\REBWIZ | Value: None
      REPORT | Path: \B1\Input\REPORT | Value: REPORT
      RESTART | Path: \B1\Input\RESTART | Value: NO
      RESULTS | Path: \B1\Input\RESULTS | Value: RESULTS
      SBWEIGHT | Path: \B1\Input\SBWEIGHT | Value: None
      SC_METHOD | Path: \B1\Input\SC_METHOD | Value: None
      SC_TYPE | Path: \B1\Input\SC_TYPE | Value: None
      SFRAC_TOL | Path: \B1\Input\SFRAC_TOL | Value: 0.0001
      SG_LOWER | Path: \B1\Input\SG_LOWER | Value: None
      SG_PHYS_QTY | Path: \B1\Input\SG_PHYS_QTY | Value: None
      SG_SPEC | Path: \B1\Input\SG_SPEC | Value: None
      SG_UOM | Path: \B1\Input\SG_UOM | Value: None
      SG_UPPER | Path: \B1\Input\SG_UPPER | Value: None
      SG_VALUE | Path: \B1\Input\SG_VALUE | Value: None
      SHOWASICON | Path: \B1\Input\SHOWASICON | Value: 0
      SIM_LEVEL | Path: \B1\Input\SIM_LEVEL | Value: 4
      SOLU_WATER | Path: \B1\Input\SOLU_WATER | Value: 3
      SOLVE_METHOD | Path: \B1\Input\SOLVE_METHOD | Value: None
      SOLVE_OPEN | Path: \B1\Input\SOLVE_OPEN | Value: None
      SPARSITY | Path: \B1\Input\SPARSITY | Value: None
      SPC_DPI | Path: \B1\Input\SPC_DPI | Value: YES
      SPC_HDUTY | Path: \B1\Input\SPC_HDUTY | Value: YES
      SPC_PML | Path: \B1\Input\SPC_PML | Value: NO
      SPC_PRES | Path: \B1\Input\SPC_PRES | Value: YES
      SPC_TEMP | Path: \B1\Input\SPC_TEMP | Value: YES
      SPC_VFRAC | Path: \B1\Input\SPC_VFRAC | Value: YES
      SPEC_OPT | Path: \B1\Input\SPEC_OPT | Value: PD
      SPEC_OVOPT | Path: \B1\Input\SPEC_OVOPT | Value: None
      SPEC_SUBOPT | Path: \B1\Input\SPEC_SUBOPT | Value: None
